iter	Passed	Remaining
0	181	181162
1	208	103909
2	232	77309
3	256	63971
4	281	56052
5	305	50673
6	330	46849
7	354	44004
8	378	41678
9	402	39844
10	427	38407
11	451	37200
12	476	36150
13	500	35221
14	525	34480
15	549	33776
16	574	33217
17	598	32624
18	623	32173
19	649	31801
20	675	31478
21	700	31134
22	725	30797
23	749	30464
24	772	30139
25	796	29856
26	820	29574
27	844	29322
28	868	29093
29	894	28918
30	919	28732
31	942	28524
32	967	28354
33	992	28189
34	1016	28026
35	1041	27884
36	1065	27738
37	1090	27609
38	1115	27491
39	1141	27384
40	1166	27278
41	1190	27165
42	1217	27104
43	1243	27014
44	1268	26910
45	1292	26808
46	1318	26744
47	1346	26696
48	1372	26628
49	1398	26565
50	1423	26489
51	1449	26420
52	1473	26334
53	1498	26250
54	1523	26170
55	1551	26148
56	1577	26092
57	1602	26021
58	1626	25936
59	1650	25863
60	1675	25784
61	1699	25710
62	1725	25660
63	1751	25619
64	1778	25579
65	1804	25534
66	1830	25492
67	1856	25445
68	1882	25400
69	1910	25382
70	1938	25361
71	1966	25342
72	1995	25336
73	2022	25311
74	2050	25283
75	2076	25248
76	2102	25196
77	2127	25149
78	2152	25096
79	2178	25058
80	2204	25015
81	2231	24977
82	2255	24924
83	2280	24867
84	2305	24818
85	2329	24762
86	2355	24722
87	2383	24698
88	2424	24812
89	2453	24806
90	2479	24768
91	2506	24738
92	2534	24721
93	2562	24697
94	2588	24658
95	2614	24624
96	2642	24603
97	2669	24565
98	2696	24540
99	2723	24508
100	2752	24502
101	2782	24494
102	2811	24487
103	2839	24465
104	2869	24459
105	2898	24447
106	2926	24423
107	2961	24462
108	2990	24446
109	3020	24437
110	3047	24407
111	3075	24383
112	3101	24341
113	3126	24298
114	3151	24254
115	3177	24216
116	3203	24179
117	3229	24136
118	3255	24098
119	3280	24056
120	3305	24010
121	3330	23971
122	3355	23925
123	3380	23882
124	3404	23833
125	3429	23786
126	3453	23741
127	3478	23694
128	3502	23651
129	3527	23603
130	3551	23556
131	3574	23503
132	3599	23467
133	3623	23420
134	3665	23485
135	3692	23457
136	3718	23424
137	3744	23387
138	3769	23348
139	3794	23309
140	3818	23264
141	3843	23224
142	3867	23179
143	3893	23145
144	3919	23110
145	3945	23078
146	3971	23045
147	3996	23005
148	4020	22965
149	4045	22922
150	4069	22879
151	4093	22835
152	4116	22789
153	4141	22753
154	4165	22710
155	4190	22670
156	4213	22625
157	4237	22583
158	4262	22543
159	4286	22502
160	4310	22461
161	4334	22422
162	4359	22386
163	4384	22348
164	4408	22309
165	4431	22266
166	4456	22230
167	4480	22189
168	4505	22156
169	4531	22126
170	4557	22096
171	4583	22064
172	4610	22040
173	4636	22010
174	4662	21982
175	4690	21958
176	4715	21926
177	4742	21898
178	4768	21870
179	4794	21841
180	4819	21809
181	4846	21781
182	4873	21755
183	4898	21725
184	4924	21695
185	4952	21674
186	4977	21638
187	5004	21613
188	5030	21587
189	5057	21560
190	5084	21534
191	5109	21503
192	5135	21472
193	5160	21440
194	5185	21407
195	5210	21374
196	5236	21346
197	5264	21323
198	5291	21297
199	5317	21270
200	5343	21240
201	5368	21209
202	5394	21179
203	5421	21152
204	5447	21125
205	5473	21098
206	5499	21069
207	5527	21048
208	5555	21025
209	5582	21002
210	5608	20972
211	5635	20945
212	5662	20922
213	5689	20895
214	5713	20859
215	5738	20829
216	5764	20799
217	5791	20776
218	5816	20744
219	5841	20711
220	5867	20682
221	5893	20655
222	5919	20626
223	5945	20597
224	5970	20565
225	5995	20534
226	6019	20499
227	6059	20517
228	6084	20486
229	6109	20455
230	6135	20424
231	6159	20391
232	6184	20357
233	6208	20323
234	6232	20288
235	6256	20253
236	6280	20219
237	6303	20183
238	6328	20150
239	6353	20119
240	6379	20090
241	6404	20059
242	6428	20025
243	6452	19993
244	6478	19964
245	6505	19940
246	6531	19912
247	6557	19884
248	6582	19851
249	6607	19821
250	6631	19788
251	6655	19755
252	6679	19720
253	6703	19688
254	6728	19657
255	6753	19626
256	6777	19595
257	6801	19561
258	6825	19528
259	6849	19495
260	6874	19464
261	6898	19432
262	6922	19399
263	6947	19368
264	6971	19336
265	6996	19305
266	7020	19273
267	7044	19239
268	7068	19209
269	7092	19175
270	7116	19144
271	7141	19113
272	7166	19085
273	7193	19059
